time,Volume,Vol.Snow,Vol.Blue.Ice,Vol.White.Ice,Tot.Inflow.Vol,Tot.Outflow.Vol,Overflow.Vol,Evaporation,Rain,Local.Runoff,Snowfall,Lake.Level,Surface.Area,Blue.Ice.Thickness,Snow.Thickness,Snow.Density,White.Ice.Thickness,Albedo,Max.Temp,Min.Temp,Surface.Temp,Daily.Qsw,Daily.Qe,Daily.Qh,Daily.Qlw,Light,Benthic.Light,Surface.Wave.Height,Surface.Wave.Length,Surface.Wave.Period,LakeNumber,Max.dT.dz,CD,CHE,z.L,date_time,Daily.Qn
1981-04-25 00:00:00,3845015.09,0,0,0,0,0,255.983665,0,255.629006,0,0,20,366541,0,0,0,0,0.072686,4.455899,4.455899,4.455899,212.495685,-24.925129,-11.470503,-79.705932,247.810174,0,0.063132,1.447924,0.963005,0,0.301704,0.0013,0.0013,0,4/25/1981,169.185385
1981-04-26 00:00:00,3845015.09,0,0,0,0,0,584.166926,0,583.350017,0,0,20,366541,0,0,0,0,0.072366,5.021755,4.317243,5.021755,250.712013,-10.8346,-3.935584,-127.176814,239.668455,0,0.008353,0.209404,0.366225,8136.556817,0.269299,0.0013,0.0013,0,4/26/1981,138.305383
1981-04-27 00:00:00,3845015.09,0,0,0,0,0,0,0,0,0,0,20,366541,0,0,0,0,0.072049,5.337717,4.336484,5.337717,169.801404,-5.591658,3.294464,-64.992452,252.434634,0,0.020906,0.513687,0.573594,2017.863645,0.278928,0.0013,0.0013,0,4/27/1981,107.106146
1981-04-28 00:00:00,3845015.09,0,0,0,0,0,189.696719,0,189.433402,0,0,20,366541,0,0,0,0,0.071734,5.392933,4.351264,5.392933,96.413219,-0.26179,7.006509,-59.358678,88.342682,0,0.024448,0.597279,0.618506,1745.169919,0.278928,0.0013,0.0013,0,4/28/1981,30.309822
1981-04-29 00:00:00,3845015.09,0,0,0,0,0,102.811908,0,102.668717,0,0,20,366541,0,0,0,0,0.071422,5.571443,4.366517,5.571443,106.181091,-0.946071,9.260226,-39.387601,164.43306,0,0.023668,0.578973,0.608954,2085.716323,0.269311,0.0013,0.0013,0,4/29/1981,58.479335
1981-04-30 00:00:00,3845015.09,0,0,0,0,0,166.006423,0,165.774847,0,0,20,366541,0,0,0,0,0.071112,5.827995,4.386082,5.827995,177.309427,-3.995862,1.403448,-91.065832,131.909674,0,0.007256,0.182444,0.341838,11763.7208,0.278928,0.0013,0.0013,0,4/30/1981,88.836009
1981-05-01 00:00:00,3845015.09,0,0,0,0,0,83.507911,0,83.391476,0,0,20,366541,0,0,0,0,0.070805,6.215922,4.406972,6.215922,190.98395,-3.079107,1.979732,-70.708262,190.869027,0,0.011043,0.275442,0.42002,6162.125527,0.278928,0.0013,0.0013,0,5/1/1981,121.375063
1981-05-02 00:00:00,3845015.09,0,0,0,0,0,250.144443,0,249.795879,0,0,20,366541,0,0,0,0,0.070501,6.325854,4.429771,6.325854,220.281014,-17.394968,-1.886084,-91.235109,221.524037,0,0.030724,0.742684,0.689696,1486.758788,0.278969,0.0013,0.0013,0,5/2/1981,148.326957
1981-05-03 00:00:00,3845015.09,0,0,0,0,0,148.913928,0,148.705684,0,0,20,366541,0,0,0,0,0.070199,5.721927,4.448472,5.721927,133.100405,-16.553789,9.277234,-82.051191,230.769531,0,0.093341,2.057678,1.148006,452.257993,0.321162,0.0013,0.0013,0,5/3/1981,58.325769
1981-05-04 00:00:00,3845015.09,0,0,0,0,0,5246.04088,0,5240.231733,0,0,20,366541,0,0,0,0,0.069901,6.079533,4.46525,6.079533,99.171047,-2.297781,25.265857,-38.12959,65.606251,0,0.035353,0.847844,0.736908,1659.982564,0.152398,0.0013,0.0013,0,5/4/1981,38.073381
1981-05-05 00:00:00,3845015.09,0,0,0,0,0,8792.562364,0,8784.870131,0,0,20,366541,0,0,0,0,0.069605,6.695285,4.479789,6.695285,56.021978,0,15.601652,-8.314205,65.52635,0,0.0196,0.482602,0.555968,2605.020305,0.152398,0.0013,0.0013,0,5/5/1981,32.106121
1981-05-06 00:00:00,3845015.09,0,0,0,0,0,8095.015394,0,8087.456507,0,0,20,366541,0,0,0,0,0.069313,6.589125,4.504039,6.589125,223.821327,-3.38909,15.831884,-57.956065,204.059944,0,0.050739,1.186058,0.871582,1035.458889,0.152398,0.0013,0.0013,0,5/6/1981,153.422468
1981-05-07 00:00:00,3845015.09,0,0,0,0,0,0,0,0,0,0,20,366541,0,0,0,0,0.069023,6.933196,4.529973,6.933196,232.449125,-16.011837,0.304126,-105.733224,254.208365,0,0.020254,0.498179,0.56487,4139.657619,0.152398,0.0013,0.0013,0,5/7/1981,142.423612
1981-05-08 00:00:00,3845015.09,0,0,0,0,0,0,0,0,0,0,20,366541,0,0,0,0,0.068737,7.279131,4.557282,7.279131,252.500886,-7.238129,2.789429,-125.995667,267.381285,0,0.020682,0.508368,0.570617,3668.03942,0.152398,0.0013,0.0013,0,5/8/1981,130.953919
